Username,Repo name,Stars,Repo_urls
Blankj,awesome-java-leetcode,8400,https://github.com//Blankj/awesome-java-leetcode
mgechev,javascript-algorithms,7300,https://github.com//mgechev/javascript-algorithms
Turfjs,turf,7100,https://github.com//Turfjs/turf
amejiarosario,dsa.js-data-structures-algorithms-javascript,6600,https://github.com//amejiarosario/dsa.js-data-structures-algorithms-javascript
QuantConnect,Lean,6200,https://github.com//QuantConnect/Lean
Alinshans,MyTinySTL,6300,https://github.com//Alinshans/MyTinySTL
amphp,amp,3600,https://github.com//amphp/amp
danog,MadelineProto,2000,https://github.com//danog/MadelineProto
amphp,http-server,1200,https://github.com//amphp/http-server
unreal4u,telegram-api,715,https://github.com//unreal4u/telegram-api
amphp,http-client,611,https://github.com//amphp/http-client
amphp,parallel,585,https://github.com//amphp/parallel
php-service-bus,service-bus,318,https://github.com//php-service-bus/service-bus
amphp,byte-stream,291,https://github.com//amphp/byte-stream
amphp,mysql,276,https://github.com//amphp/mysql
amphp,parallel-functions,226,https://github.com//amphp/parallel-functions
amphp,process,178,https://github.com//amphp/process
amphp,socket,165,https://github.com//amphp/socket
amphp,redis,129,https://github.com//amphp/redis
amphp,dns,120,https://github.com//amphp/dns
kelunik,acme,110,https://github.com//kelunik/acme
amphp,sync,110,https://github.com//amphp/sync
amphp,websocket-client,103,https://github.com//amphp/websocket-client
PeeHaa,mailgrab,92,https://github.com//PeeHaa/mailgrab
amphp,websocket-server,79,https://github.com//amphp/websocket-server
amphp,file,73,https://github.com//amphp/file
jolicode,asynit,69,https://github.com//jolicode/asynit
amphp,cache,76,https://github.com//amphp/cache
amphp,serialization,75,https://github.com//amphp/serialization
amphp,postgres,65,https://github.com//amphp/postgres
amphp,windows-registry,71,https://github.com//amphp/windows-registry
amphp,hpack,70,https://github.com//amphp/hpack
amphp,beanstalk,59,https://github.com//amphp/beanstalk
phpinnacle,ridge,46,https://github.com//phpinnacle/ridge
amphp,aerys,45,https://github.com//amphp/aerys
amphp,cluster,43,https://github.com//amphp/cluster
flutter,flutter,142000,https://github.com//flutter/flutter
justjavac,free-programming-books-zh_CN,93300,https://github.com//justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,66300,https://github.com//Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,51400,https://github.com//Hack-with-Github/Awesome-Hacking
google,material-design-icons,45900,https://github.com//google/material-design-icons
wasabeef,awesome-android-ui,42800,https://github.com//wasabeef/awesome-android-ui
square,okhttp,42300,https://github.com//square/okhttp
android,architecture-samples,41000,https://github.com//android/architecture-samples
Solido,awesome-flutter,40900,https://github.com//Solido/awesome-flutter
square,retrofit,40100,https://github.com//square/retrofit
PhilJay,MPAndroidChart,35200,https://github.com//PhilJay/MPAndroidChart
fastlane,fastlane,35100,https://github.com//fastlane/fastlane
airbnb,lottie-android,32800,https://github.com//airbnb/lottie-android
bumptech,glide,32600,https://github.com//bumptech/glide
shadowsocks,shadowsocks-android,32600,https://github.com//shadowsocks/shadowsocks-android
Trinea,android-open-project,31000,https://github.com//Trinea/android-open-project
Blankj,AndroidUtilCode,30900,https://github.com//Blankj/AndroidUtilCode
xitu,gold-miner,30800,https://github.com//xitu/gold-miner
skylot,jadx,30500,https://github.com//skylot/jadx
bilibili,ijkplayer,30400,https://github.com//bilibili/ijkplayer
laurent22,joplin,30100,https://github.com//laurent22/joplin
zxing,zxing,29700,https://github.com//zxing/zxing
codepath,android_guides,27800,https://github.com//codepath/android_guides
square,leakcanary,27600,https://github.com//square/leakcanary
alibaba,fastjson,24700,https://github.com//alibaba/fastjson
scwang90,SmartRefreshLayout,23600,https://github.com//scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22900,https://github.com//CymChad/BaseRecyclerViewAdapterHelper
appwrite,appwrite,22600,https://github.com//appwrite/appwrite
react-native-elements,react-native-elements,22400,https://github.com//react-native-elements/react-native-elements
google,iosched,21500,https://github.com//google/iosched
justjavac,free-programming-books-zh_CN,93300,https://github.com//justjavac/free-programming-books-zh_CN
angular,angular,82000,https://github.com//angular/angular
storybookjs,storybook,71600,https://github.com//storybookjs/storybook
leonardomso,33-js-concepts,49400,https://github.com//leonardomso/33-js-concepts
ionic-team,ionic-framework,47400,https://github.com//ionic-team/ionic-framework
prettier,prettier,42800,https://github.com//prettier/prettier
SheetJS,sheetjs,30400,https://github.com//SheetJS/sheetjs
angular,angular-cli,25400,https://github.com//angular/angular-cli
angular,components,22700,https://github.com//angular/components
NativeScript,NativeScript,21300,https://github.com//NativeScript/NativeScript
jhipster,generator-jhipster,19600,https://github.com//jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,17800,https://github.com//goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17600,https://github.com//pubkey/rxdb
handsontable,handsontable,16700,https://github.com//handsontable/handsontable
teambit,bit,15300,https://github.com//teambit/bit
sweetalert2,sweetalert2,14600,https://github.com//sweetalert2/sweetalert2
nrwl,nx,13000,https://github.com//nrwl/nx
linnovate,mean,12200,https://github.com//linnovate/mean
codesandbox,codesandbox-client,11600,https://github.com//codesandbox/codesandbox-client
Chocobozzz,PeerTube,10800,https://github.com//Chocobozzz/PeerTube
sudheerj,javascript-interview-questions,10400,https://github.com//sudheerj/javascript-interview-questions
PatrickJS,angular-starter,10400,https://github.com//PatrickJS/angular-starter
jasontaylordev,CleanArchitecture,8800,https://github.com//jasontaylordev/CleanArchitecture
dotansimha,graphql-code-generator,8800,https://github.com//dotansimha/graphql-code-generator
angular,protractor,8800,https://github.com//angular/protractor
ag-grid,ag-grid,8800,https://github.com//ag-grid/ag-grid
OnsenUI,OnsenUI,8600,https://github.com//OnsenUI/OnsenUI
PatrickJS,awesome-angular,8300,https://github.com//PatrickJS/awesome-angular
NG-ZORRO,ng-zorro-antd,8200,https://github.com//NG-ZORRO/ng-zorro-antd
abpframework,abp,8100,https://github.com//abpframework/abp
ansible,ansible,53400,https://github.com//ansible/ansible
trailofbits,algo,25600,https://github.com//trailofbits/algo
bregman-arie,devops-exercises,25500,https://github.com//bregman-arie/devops-exercises
StreisandEffect,streisand,22800,https://github.com//StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,13600,https://github.com//MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12400,https://github.com//kubernetes-sigs/kubespray
ansible,awx,11100,https://github.com//ansible/awx
easzlab,kubeasz,8200,https://github.com//easzlab/kubeasz
geerlingguy,ansible-for-devops,5900,https://github.com//geerlingguy/ansible-for-devops
khuedoan,homelab,5800,https://github.com//khuedoan/homelab
curlconverter,curlconverter,5600,https://github.com//curlconverter/curlconverter
ansible-semaphore,semaphore,5000,https://github.com//ansible-semaphore/semaphore
Tikam02,DevOps-Guide,4900,https://github.com//Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4600,https://github.com//geerlingguy/mac-dev-playbook
rundeck,rundeck,4600,https://github.com//rundeck/rundeck
KubeOperator,KubeOperator,4300,https://github.com//KubeOperator/KubeOperator
clong,DetectionLab,3700,https://github.com//clong/DetectionLab
ansible-community,molecule,3400,https://github.com//ansible-community/molecule
opendevops-cn,opendevops,3200,https://github.com//opendevops-cn/opendevops
werf,werf,3200,https://github.com//werf/werf
netbootxyz,netboot.xyz,3100,https://github.com//netbootxyz/netboot.xyz
litmuschaos,litmus,3000,https://github.com//litmuschaos/litmus
welliamcao,OpsManage,3000,https://github.com//welliamcao/OpsManage
ansible,ansible-lint,2800,https://github.com//ansible/ansible-lint
dev-sec,ansible-collection-hardening,2800,https://github.com//dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2700,https://github.com//alixaxel/chrome-aws-lambda
roots,trellis,2300,https://github.com//roots/trellis
ansistrano,deploy,2200,https://github.com//ansistrano/deploy
fboender,ansible-cmdb,2100,https://github.com//fboender/ansible-cmdb
openshift,openshift-ansible,2100,https://github.com//openshift/openshift-ansible
public-apis,public-apis,196000,https://github.com//public-apis/public-apis
neovim,neovim,54300,https://github.com//neovim/neovim
tiangolo,fastapi,46200,https://github.com//tiangolo/fastapi
strapi,strapi,45600,https://github.com//strapi/strapi
hoppscotch,hoppscotch,44200,https://github.com//hoppscotch/hoppscotch
slatedocs,slate,34200,https://github.com//slatedocs/slate
meilisearch,meilisearch,27300,https://github.com//meilisearch/meilisearch
hasura,graphql-engine,27200,https://github.com//hasura/graphql-engine
ccxt,ccxt,24800,https://github.com//ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,24400,https://github.com//Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24400,https://github.com//YMFE/yapi
encode,django-rest-framework,23500,https://github.com//encode/django-rest-framework
littlecodersh,ItChat,22200,https://github.com//littlecodersh/ItChat
httpie,httpie,22000,https://github.com//httpie/httpie
Kong,insomnia,21200,https://github.com//Kong/insomnia
paularmstrong,normalizr,20900,https://github.com//paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20200,https://github.com//FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19300,https://github.com//microsoft/api-guidelines
pubkey,rxdb,17600,https://github.com//pubkey/rxdb
shieldfy,API-Security-Checklist,17300,https://github.com//shieldfy/API-Security-Checklist
directus,directus,16300,https://github.com//directus/directus
ChainSafe,web3.js,15300,https://github.com//ChainSafe/web3.js
learn-anything,learn-anything,14000,https://github.com//learn-anything/learn-anything
youfou,wxpy,13300,https://github.com//youfou/wxpy
jsdoc,jsdoc,12900,https://github.com//jsdoc/jsdoc
BrainJS,brain.js,12600,https://github.com//BrainJS/brain.js
OpenAPITools,openapi-generator,12400,https://github.com//OpenAPITools/openapi-generator
fangzesheng,free-api,12300,https://github.com//fangzesheng/free-api
go-chi,chi,11600,https://github.com//go-chi/chi
graphile,postgraphile,11400,https://github.com//graphile/postgraphile
arendst,Tasmota,17700,https://github.com//arendst/Tasmota
MarlinFirmware,Marlin,13300,https://github.com//MarlinFirmware/Marlin
arduino,Arduino,12900,https://github.com//arduino/Arduino
rwaldron,johnny-five,12700,https://github.com//rwaldron/johnny-five
tinygo-org,tinygo,10900,https://github.com//tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10100,https://github.com//SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,8800,https://github.com//espressif/arduino-esp32
hybridgroup,gobot,7800,https://github.com//hybridgroup/gobot
gurugio,lowlevelprogramming-university,7600,https://github.com//gurugio/lowlevelprogramming-university
platformio,platformio-core,5900,https://github.com//platformio/platformio-core
bblanchon,ArduinoJson,5700,https://github.com//bblanchon/ArduinoJson
tzapu,WiFiManager,5300,https://github.com//tzapu/WiFiManager
Arduino-IRremote,Arduino-IRremote,3600,https://github.com//Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3400,https://github.com//arduino/arduino-cli
blynkkk,blynk-library,3400,https://github.com//blynkkk/blynk-library
NectarJS,nectarjs,3300,https://github.com//NectarJS/nectarjs
olikraus,u8g2,3100,https://github.com//olikraus/u8g2
ClemensElflein,OpenMower,3000,https://github.com//ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2700,https://github.com//Serial-Studio/Serial-Studio
1technophile,OpenMQTTGateway,2600,https://github.com//1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2300,https://github.com//scottlawsonbc/audio-reactive-led-strip
scottbez1,splitflap,2300,https://github.com//scottbez1/splitflap
isl-org,OpenBot,2200,https://github.com//isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2100,https://github.com//crankyoldgit/IRremoteESP8266
Bodmer,TFT_eSPI,1900,https://github.com//Bodmer/TFT_eSPI
stm32duino,Arduino_Core_STM32,1900,https://github.com//stm32duino/Arduino_Core_STM32
nRF24,RF24,1900,https://github.com//nRF24/RF24
blinker-iot,blinker-library,1800,https://github.com//blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1700,https://github.com//ThingPulse/esp8266-oled-ssd1306
vshymanskyy,TinyGSM,1500,https://github.com//vshymanskyy/TinyGSM
dotnet,AspNetCore.Docs,10600,https://github.com//dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10400,https://github.com//aspnetboilerplate/aspnetboilerplate
bitwarden,server,9900,https://github.com//bitwarden/server
abpframework,abp,8100,https://github.com//abpframework/abp
nopSolutions,nopCommerce,7300,https://github.com//nopSolutions/nopCommerce
ElectronNET,Electron.NET,6300,https://github.com//ElectronNET/Electron.NET
RicoSuter,NSwag,5200,https://github.com//RicoSuter/NSwag
thangchung,clean-code-dotnet,5100,https://github.com//thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500,https://github.com//JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2500,https://github.com//smartstore/SmartStoreNET
serenity-is,Serenity,2200,https://github.com//serenity-is/Serenity
dotnet,aspnet-api-versioning,2300,https://github.com//dotnet/aspnet-api-versioning
loic-sharma,BaGet,2000,https://github.com//loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1800,https://github.com//mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com//TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com//TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://github.com//MarimerLLC/csla
riganti,dotvvm,610,https://github.com//riganti/dotvvm
antonioCoco,SharPyShell,601,https://github.com//antonioCoco/SharPyShell
cornflourblue,aspnet-core-3-jwt-authentication-api,608,https://github.com//cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,557,https://github.com//json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,460,https://github.com//chsakell/mvcarchitecture
brthor,Gofer.NET,443,https://github.com//brthor/Gofer.NET
YAFNET,YAFNET,431,https://github.com//YAFNET/YAFNET
Maarten88,rrod,376,https://github.com//Maarten88/rrod
SapphireDb,SapphireDb,379,https://github.com//SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,368,https://github.com//Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,360,https://github.com//chsakell/aspnet-core-identity
smartstore,Smartstore,337,https://github.com//smartstore/Smartstore
EEParker,aspnetcore-vueclimiddleware,328,https://github.com//EEParker/aspnetcore-vueclimiddleware
atom,atom,58100,https://github.com//atom/atom
themerdev,themer,4700,https://github.com//themerdev/themer
nteract,hydrogen,3800,https://github.com//nteract/hydrogen
miniflux,v2,3700,https://github.com//miniflux/v2
shd101wyy,markdown-preview-enhanced,3700,https://github.com//shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://github.com//atom/teletype
mmcdole,gofeed,1900,https://github.com//mmcdole/gofeed
mehcode,awesome-atom,1900,https://github.com//mehcode/awesome-atom
joefitzgerald,go-plus,1500,https://github.com//joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com//Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com//simplepie/simplepie
kurtmckee,feedparser,1400,https://github.com//kurtmckee/feedparser
t9md,atom-vim-mode-plus,1400,https://github.com//t9md/atom-vim-mode-plus
ocaml,merlin,1400,https://github.com//ocaml/merlin
MagicStack,MagicPython,1300,https://github.com//MagicStack/MagicPython
atom,apm,1300,https://github.com//atom/apm
file-icons,atom,1200,https://github.com//file-icons/atom
kettanaito,atomic-layout,1100,https://github.com//kettanaito/atomic-layout
atom,github,1000,https://github.com//atom/github
nmdias,FeedKit,990,https://github.com//nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,967,https://github.com//nathanbuchar/atom-one-dark-terminal
fwcd,kotlin-language-server,944,https://github.com//fwcd/kotlin-language-server
danhper,atomic-chrome,927,https://github.com//danhper/atomic-chrome
jesseweed,seti-ui,899,https://github.com//jesseweed/seti-ui
jpmonette,feed,799,https://github.com//jpmonette/feed
prettier,prettier-atom,778,https://github.com//prettier/prettier-atom
raphamorim,lucario,745,https://github.com//raphamorim/lucario
feeddd,feeds,743,https://github.com//feeddd/feeds
atom-community,atom-script,737,https://github.com//atom-community/atom-script
jasonmunro,cypht,723,https://github.com//jasonmunro/cypht
sindresorhus,awesome,205000,https://github.com//sindresorhus/awesome
vinta,awesome-python,130000,https://github.com//vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,90800,https://github.com//awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,82100,https://github.com//avelino/awesome-go
trimstray,the-book-of-secret-knowledge,69900,https://github.com//trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,61700,https://github.com//papers-we-love/papers-we-love
521xueweihan,HelloGitHub,56300,https://github.com//521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,51400,https://github.com//Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,49600,https://github.com//jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,47000,https://github.com//DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,44800,https://github.com//sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42800,https://github.com//wasabeef/awesome-android-ui
Solido,awesome-flutter,40900,https://github.com//Solido/awesome-flutter
MunGell,awesome-for-beginners,40800,https://github.com//MunGell/awesome-for-beginners
prakhar1989,awesome-courses,40400,https://github.com//prakhar1989/awesome-courses
vsouza,awesome-ios,39600,https://github.com//vsouza/awesome-ios
binhnguyennus,awesome-scalability,38800,https://github.com//binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,37800,https://github.com//fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,35200,https://github.com//tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33900,https://github.com//dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,32299,https://github.com//akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,30500,https://github.com//serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,30400,https://github.com//dkhamsing/open-source-ios-apps
brillout,awesome-react-components,30100,https://github.com//brillout/awesome-react-components
ziadoz,awesome-php,26600,https://github.com//ziadoz/awesome-php
rust-unofficial,awesome-rust,26300,https://github.com//rust-unofficial/awesome-rust
herrbischoff,awesome-macos-command-line,25700,https://github.com//herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,24400,https://github.com//goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23700,https://github.com//alebcay/awesome-shell
sindresorhus,awesome-electron,22800,https://github.com//sindresorhus/awesome-electron
serverless,serverless,42900,https://github.com//serverless/serverless
localstack,localstack,41500,https://github.com//localstack/localstack
bregman-arie,devops-exercises,25500,https://github.com//bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23200,https://github.com//donnemartin/data-science-ipython-notebooks
ramitsurana,awesome-kubernetes,12800,https://github.com//ramitsurana/awesome-kubernetes
pulumi,pulumi,12700,https://github.com//pulumi/pulumi
aws,aws-cli,12500,https://github.com//aws/aws-cli
kubernetes-sigs,kubespray,12400,https://github.com//kubernetes-sigs/kubespray
donnemartin,awesome-aws,10400,https://github.com//donnemartin/awesome-aws
mozilla,sops,10000,https://github.com//mozilla/sops
apereo,cas,9500,https://github.com//apereo/cas
aws,chalice,8900,https://github.com//aws/chalice
aws,aws-cdk,8800,https://github.com//aws/aws-cdk
aws-amplify,amplify-js,8800,https://github.com//aws-amplify/amplify-js
caprover,caprover,8700,https://github.com//caprover/caprover
aws,serverless-application-model,8600,https://github.com//aws/serverless-application-model
apex,up,8600,https://github.com//apex/up
google,go-cloud,8400,https://github.com//google/go-cloud
angristan,openvpn-install,8200,https://github.com//angristan/openvpn-install
GoogleCloudPlatform,terraformer,7700,https://github.com//GoogleCloudPlatform/terraformer
aws,aws-sdk-go,7700,https://github.com//aws/aws-sdk-go
hashicorp,terraform-provider-aws,7400,https://github.com//hashicorp/terraform-provider-aws
boto,boto3,7300,https://github.com//boto/boto3
aws,aws-sdk-js,7100,https://github.com//aws/aws-sdk-js
aws,amazon-sagemaker-examples,7000,https://github.com//aws/amazon-sagemaker-examples
serverless-stack,serverless-stack,6900,https://github.com//serverless-stack/serverless-stack
infracost,infracost,6800,https://github.com//infracost/infracost
awslabs,aws-shell,6600,https://github.com//awslabs/aws-shell
99designs,aws-vault,6300,https://github.com//99designs/aws-vault
gruntwork-io,terratest,6100,https://github.com//gruntwork-io/terratest
bregman-arie,devops-exercises,25500,https://github.com//bregman-arie/devops-exercises
microsoft,recommenders,13400,https://github.com//microsoft/recommenders
ramitsurana,awesome-kubernetes,12800,https://github.com//ramitsurana/awesome-kubernetes
pulumi,pulumi,12700,https://github.com//pulumi/pulumi
Azure,azure-quickstart-templates,11800,https://github.com//Azure/azure-quickstart-templates
mozilla,sops,10000,https://github.com//mozilla/sops
caprover,caprover,8700,https://github.com//caprover/caprover
microsoft,computervision-recipes,8500,https://github.com//microsoft/computervision-recipes
google,go-cloud,8400,https://github.com//google/go-cloud
microsoft,azuredatastudio,6800,https://github.com//microsoft/azuredatastudio
infracost,infracost,6800,https://github.com//infracost/infracost
node-formidable,formidable,6200,https://github.com//node-formidable/formidable
midwayjs,midway,5700,https://github.com//midwayjs/midway
thangchung,clean-code-dotnet,5100,https://github.com//thangchung/clean-code-dotnet
aquasecurity,tfsec,4600,https://github.com//aquasecurity/tfsec
budtmo,docker-android,4600,https://github.com//budtmo/docker-android
nccgroup,ScoutSuite,4300,https://github.com//nccgroup/ScoutSuite
bridgecrewio,checkov,4300,https://github.com//bridgecrewio/checkov
cloud-custodian,cloud-custodian,4200,https://github.com//cloud-custodian/cloud-custodian
Azure,autorest,3800,https://github.com//Azure/autorest
Azure,azure-sdk-for-net,3800,https://github.com//Azure/azure-sdk-for-net
simov,grant,3600,https://github.com//simov/grant
hashicorp,terraform-provider-azurerm,3400,https://github.com//hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3300,https://github.com//microsoft/SynapseML
Azure,MachineLearningNotebooks,3300,https://github.com//Azure/MachineLearningNotebooks
Azure,azure-powershell,3100,https://github.com//Azure/azure-powershell
Azure,azure-cli,3100,https://github.com//Azure/azure-cli
